Branch Path,Variable,Scenario,Region,Units,expected_unit,unit_check_status,notes
Demand\Freight road\Trucks\HEV medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\HEV medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\HEV medium\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\Heavy trucks,Mileage,Reference,Papua New Guinea,Kilometer,Kilometer,pass,
Demand\Freight road\Trucks\ICE heavy,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\ICE heavy,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\ICE heavy\Gas and diesel oil,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\ICE heavy\LPG,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\ICE heavy\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\ICE heavy\Natural gas,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\ICE medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\ICE medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\ICE medium\Gas and diesel oil,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\ICE medium\LPG,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\ICE medium\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\ICE medium\Natural gas,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\Medium trucks,Mileage,Reference,Papua New Guinea,Kilometer,Kilometer,pass,
Demand\Freight road\Trucks\PHEV heavy,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\PHEV heavy,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\PHEV heavy,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Freight road\Trucks\PHEV medium,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Freight road\Trucks\PHEV medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Freight road\Trucks\PHEV medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road,Passenger Vehicle Saturation,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road,Reconciliation Bound Lower,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road,Reconciliation Bound Upper,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road,Reconciliation Weight,Reference,Papua New Guinea,Weight,Weight,pass,
Demand\Passenger road\Age 0,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 0,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 1,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 1,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 10,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 10,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 11,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 11,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 12,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 12,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 13,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 13,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 14,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 14,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 15,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 15,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 16,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 16,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 17,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 17,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 18,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 18,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 19,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 19,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 2,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 2,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 20,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 20,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 21,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 21,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 22,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 22,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
